intent,english
ask_payment_link,could you please share the payment link again ?
ask_payment_link,text me the payment link.
ask_payment_link,where is the payment link ?
ask_payment_link,send me the payment link
ask_payment_link,can you send the payment link
ask_payment_link,is it possible for you to resend the payment link
ask_payment_link,what is the payment link?
ask_payment_link,i need the payment link
ask_payment_link,can you message the payment link 
ask_payment_link,whatsapp the payment link to me
ask_payment_link,send the link to me on my email
ask_payment_link,share the payment link ASAP
ask_payment_link,do you mind sending me the payment link
ask_payment_link,"I want to make the payment, so send me the payment link please"
ask_payment_link,help me with the payment link please
ask_payment_link,kindly share the payment link
ask_payment_link,i want to pay the installment for this month.Where is the payment link?
ask_payment_link,where can I get the payment link ?
ask_payment_link,"send the payment link  please,its urgent'"
ask_payment_link,give me the payment link
ask_payment_link,I have been asking for the payment link since a lot of time.Send it now please
ask_payment_link,send the payment link on my whatsapp number
ask_payment_link,i need help with the payment link.Can you send it to me?
ask_payment_link,"send me the link , i will pay now"
ask_payment_link,message me the payment link
ask_payment_link,i can't find the payment link. please re-send it.
ask_payment_link,can i get the payment link ?
ask_payment_link,share the payment link via email please
ask_payment_link,Resend  link I will pay now
ask_payment_link,Ping me the link will pay in sometime
ask_payment_link,Send me the link will pay soon
ask_payment_link,Message me the payment link will send it now
ask_payment_link,email me the payment link
ask_payment_link,Give me the link will pay now
ask_payment_link,I will pay right away just send me the payment link
ask_payment_link,Inbox me with the link i will do the payment
ask_payment_link,Remind me with the payment link i will do payment
ask_payment_link,Pass me the link will do it right away inform payment delay reason
ask_payment_link,Can you share the link to another number
ask_payment_link,Will remit the payment send me the link
ask_payment_link,Kindly send me the link.I'll pay right away
ask_payment_link,Please share me the link soon
ask_payment_link, Where can I find the link?
ask_payment_link,Will you help me with the link.Please
ask_payment_link,Mail me the link.I will pay now
ask_payment_link,I'm not sure I have the link.Can you send me again
ask_payment_link,Do you mind sending me the payment link again?
ask_payment_link,Guide me through the payment link
ask_payment_link,How to pay? Can you help me through the payment link
ask_payment_link,I will make the payment right away just send me the link
ask_payment_link,Send me the link to my alternative number. Please.
ask_payment_link,How about sending me the link again?
ask_payment_link,Can you leave me msg along with the payment link?
ask_payment_link,Will you mind sharing the link to my another number
ask_payment_link,Can you send the link to my whatsapp?
ask_payment_link,Just resend the link to my number.
pay_later,I will do it over the weekend
pay_later,I'll do the payment by EOD.
pay_later,I'll do the payment in a couple of days.
pay_later,I'll pay the amount soon.
pay_later,I'll make the payment by tomorrow
pay_later,I'll pay the emi sometime this week.
pay_later,I'll pay the installment by month-end
pay_later,"I will do the payment as soon as I get free,I'm busy now."
pay_later,I'll make the payment in sometime
pay_later,I'll pay the amount within 15 days
pay_later,In office right now.I'll make the payment as soon as I am home
pay_later,I'll pay the emi as soon as I get my salary
pay_later,i will pay the installment by friday
pay_later,i will pay later
pay_later,i will pay this month's emi with the next month's installment
pay_later,I can't pay now.I need sometime
pay_later,it's not possible for me to pay now.I will pay by next week
pay_later,"i'm on a vacation right now , i'll pay when i return"
pay_later,I'll pay the installment in the next couple of hours
pay_later,"sorry,i'll pay later"
pay_later,i can't pay today
pay_later,no i won't be able to pay today.i'll pay later
pay_later,i will not pay now.I'll do it later
pay_later, i am not paying now.i'll pay tomorrow
pay_later,i will be paying later
pay_later,sorry i can only pay in a few days
pay_later,yes i will definately pay later
pay_later,can't pay now
pay_later,i am going to pay later
pay_later,i will be paying by this month end
pay_later,I will pay later
pay_later,Will pay in sometime
pay_later,Give me sometime. I'll make it soon
pay_later,Right now I cannot.Need some more time.
pay_later,I'll pay later.I'm out of station
pay_later,Will make the payment very soon.
pay_later,I may require some more time for the payment.
pay_later,Right now it is not possible.Will try to do it soon.
pay_later,I will make the payment as soon as possible.
pay_later,Payment would be delayed a bit.
pay_later,There will be delay in the payment because of personal issues.
pay_later,I will make sure about the payment sooner or later.
pay_later,"I'm in middle of some work, will do it afterwards"
pay_later,This time payment will be late.
pay_later,I will pay EMI a while later
pay_later,Payment will be done next day
pay_later,Payment would be done at a later time.
pay_later,I will make the payment on some other day
pay_later,Will do the payment another time
pay_later,I will complete the payment in following few days
pay_later,Will complete payment sooner
pay_later,Later on will do the payment.
pay_later,Will do the payment in following week.
pay_later,I need a week of time for the payment
pay_later,Will do the payment as soon as possible.
pay_later,Will be done with the payment in a mean while
pay_later,It will take some more time for the complete payment
pay_later,Need a couple of days for the payment settlement
pay_later,I would do the payment another day..
inform_payment_delay_reason,I am busy with office work
inform_payment_delay_reason,I'm out of town right now and there is network issue here.
inform_payment_delay_reason,I tried making the payment but there was some network issue.
